,,d=50,d=100,d=200,d=300
person,individual,0.6825587357332568,0.6671516444326966,0.600657616148294,0.5254031309495395
person,somebody,0.7167888706945778,0.6494871272788774,0.6262586665206435,0.5600003119575961
person,someone,0.8526201331553841,0.7936561500811434,0.7509778062152369,0.6906359895477102
person,soul,0.4597215784700555,0.39586186179552446,0.3646627333426627,0.3082541613568195
somebody,individual,0.39686127706110846,0.3127509779378884,0.2973812469631523,0.21750657380409433
somebody,someone,0.8952292041747356,0.8736316311963424,0.8681408922821776,0.8469226904565048
somebody,soul,0.5036065973747343,0.3760344826600356,0.34833958043629537,0.2677863192834297
someone,individual,0.5044500966765479,0.4695297735831363,0.4105586981688965,0.3185931932312422
someone,soul,0.439697074878248,0.36205751621875315,0.33188991100611076,0.255964036006864
soul,individual,0.317119500153395,0.2895213517100665,0.20542388733604483,0.18537404724504528
