,,d=50,d=100,d=200,d=300
discover,describe,0.6269031421988462,0.47039792399022967,0.3595070501268302,0.29343950419567344
distinguish,describe,0.8005776429203809,0.7649183167148849,0.5938214853670619,0.5415479854178044
distinguish,discover,0.4974894842089383,0.3586634571836654,0.3169160187438808,0.20367744471877622
identify,describe,0.7110591522021098,0.6805948407715241,0.5731470093452735,0.5267374517514654
identify,discover,0.69096115346482,0.5947158751712583,0.4722028491658712,0.4148835072225967
identify,distinguish,0.7652380561683172,0.733095138192881,0.6416102274986052,0.5819556550393794
identify,key,0.5540599544838878,0.4364390026392772,0.3594017356592127,0.2689333840855249
key,describe,0.5038310746909417,0.36400586437556826,0.2654997825870773,0.1506453700776665
key,discover,0.32932545407751773,0.23058545901817434,0.11294545632511144,0.07895518216070024
key,distinguish,0.391127398252341,0.27574355226338876,0.15650150502122434,0.08861401895979296
