,,d=50,d=100,d=200,d=300
carry,read,0.5353494744338461,0.49074555747901316,0.4046939094645381,0.31097210541484455
carry,train,0.6649631596780874,0.5603907245428551,0.464415705061516,0.3454401685136031
shoot,carry,0.6601494216400686,0.541034791262609,0.4044106106445266,0.3077710060768772
shoot,read,0.5183681922304612,0.44890282743312704,0.2863425945822396,0.19605949144608792
shoot,train,0.5490689597983943,0.3788237831519391,0.2836505872132653,0.19717092007101225
take,carry,0.7777832253842655,0.7408585801244608,0.6336103975770065,0.5273506681636008
take,read,0.5924801501241356,0.540079429262921,0.4325974544018778,0.335684614714924
take,shoot,0.6437668711498998,0.568829015613963,0.48744632448828523,0.411736299621249
take,train,0.5906188708495321,0.5165715188492135,0.4428928916925131,0.34491515772668946
train,read,0.3685867061457221,0.3276104413138519,0.2223159010173692,0.09990183914963574
