,,d=50,d=100,d=200,d=300
append,cater,-0.016392002048173062,-0.0022164132704309463,-0.025017343227157852,0.01185359588365072
append,render,0.24472793851425712,0.28887881000176835,0.19043901160536117,0.16122983912070563
cater,render,0.14768016233152637,0.1201586878750947,0.08941218122286007,0.03314393400862821
furnish,append,0.4454094016551497,0.32279903568949864,0.18543947758442522,0.19566776285285775
furnish,cater,0.2309127128446127,0.20373199318236107,0.11566905550789039,0.0871864524850654
furnish,render,0.533441206673909,0.35273269814429037,0.26882724846032735,0.2352683773867175
supply,append,-0.10410235442198887,-0.16062401012525632,-0.13582547993055116,-0.13711726306477476
supply,cater,0.4194343906095885,0.256622007762409,0.25774071625388073,0.1899158239800662
supply,furnish,0.2516403284706837,0.16963457341413996,0.24517915896130665,0.20038331359537506
supply,render,0.3118162440385993,0.2562470896790908,0.19470199051672743,0.16940585892791468
