,filename,mean,sd,dim
0,synonym-list-V-1,0.44108271644068253,0.19876212403475685,50
1,synonym-list-V-1,0.3634131890086332,0.18820508532748437,100
2,synonym-list-V-1,0.28349826921015253,0.17753234071031418,200
3,synonym-list-V-1,0.19815795956495272,0.16444853403094528,300
4,synonym-list-V-2,0.24645680286681645,0.18924714142324775,50
5,synonym-list-V-2,0.1807964472352966,0.15074485798528664,100
6,synonym-list-V-2,0.138656601695507,0.12472635386883446,200
7,synonym-list-V-2,0.11469376951762064,0.1098394388223737,300
8,synonym-list-V-3,0.5901135031434412,0.10369051582803153,50
9,synonym-list-V-3,0.5113846669033953,0.10759389082148217,100
10,synonym-list-V-3,0.40623763761431375,0.112672840786068,200
11,synonym-list-V-3,0.30770022708985234,0.11425124184730356,300
12,synonym-list-V-4,0.14339455694511072,0.32349630265845364,50
13,synonym-list-V-4,0.12650905328928247,0.27743591278107,100
14,synonym-list-V-4,0.10522300520665688,0.2149789991686784,200
15,synonym-list-V-4,0.08255772682618359,0.18395939216115748,300
16,synonym-list-V-5,0.5870572512668101,0.1503168432950205,50
17,synonym-list-V-5,0.4909159430320852,0.1820816592592378,100
18,synonym-list-V-5,0.38515531198401487,0.1728886183227565,200
19,synonym-list-V-5,0.31493895036293806,0.18065399245125813,300
