,,d=50,d=100,d=200,d=300
case,illustration,0.1255320954864995,0.1677402053769048,0.15427457160423758,0.08563364267441426
case,representative,0.41691528657505916,0.3239811735744443,0.23407522700511055,0.1651238079430172
example,case,0.7097337851655958,0.6568598925717056,0.6124834359349495,0.504761091019999
example,illustration,0.36228855208171634,0.37942802767238987,0.3156114409692192,0.28196908581050995
example,representative,0.4488525927618778,0.395978624562981,0.3627660116091936,0.2729329822077922
illustration,representative,0.05998393267096318,0.05919152332805835,0.10200198842791766,0.0669315573169949
instance,case,0.7929117737071399,0.7043574274043519,0.6546228160165188,0.5502920047057399
instance,example,0.9669908402288819,0.9434883371913767,0.9067078026406016,0.8713275725674224
instance,illustration,0.3045993995893075,0.3125577365687699,0.223910197475102,0.15085918924340785
instance,representative,0.4775419817778309,0.36639476216647227,0.3102753092076089,0.21655100506638994
