,,d=50,d=100,d=200,d=300
affirmation,assertion,0.5522266253558072,0.4743010109739027,0.3903485487928739,0.3789702940775226
argument,affirmation,0.49890862190653185,0.30841187920602364,0.2587892827808894,0.21336984023651506
argument,assertion,0.7801816423391853,0.6912113624541714,0.6586526891642274,0.5948060784725355
instruction,affirmation,0.2426142528284153,0.1825216666318536,0.1405953241283716,0.13717524418653756
instruction,argument,0.41376769019022697,0.3647610784413664,0.2859945655731983,0.23890681903919575
instruction,assertion,0.1839532335918968,0.1646143154770261,0.10811420042685456,0.09923167041553575
statement,affirmation,0.3407765966444046,0.30013505651326317,0.27806247148504315,0.22672642789780842
statement,argument,0.577462817120994,0.4903107208401397,0.41327633532552144,0.3152426148545621
statement,assertion,0.7030412394260245,0.5555864149837306,0.5145986312942922,0.4350236150945295
statement,instruction,0.3051237741166259,0.27569960459159,0.22692869314714306,0.19511462900647078
