,,d=50,d=100,d=200,d=300
commit,devote,0.35655047961385705,0.37618794048262544,0.34349516914384487,0.2929698644438106
commit,intrust,-0.08822062095505659,-0.11830560891427624,-0.059906250110485684,-0.015929200860896522
commit,place,0.3879464474906498,0.25373126866161216,0.23705422191207012,0.14942419482771957
commit,practice,0.38149905125454986,0.3295661361276854,0.2563257130273436,0.2008312534866401
intrust,devote,-0.212102142823908,-0.1359507543833522,-0.06297099301603915,-0.03873404886172027
intrust,place,-0.2105600509281036,-0.2816871520459935,-0.1735613740257592,-0.17310599897004983
intrust,practice,-0.39508687481882815,-0.217935209575874,-0.22097558722566873,-0.20386373873452357
place,devote,0.2875676064599723,0.21432024948753828,0.09496627892561307,0.0382295282153598
practice,devote,0.28430697427129514,0.26004677165728945,0.18838459816649444,0.19410293480473292
practice,place,0.6420446998866793,0.5851168913955699,0.4494182752691556,0.381652479910763
