,,d=50,d=100,d=200,d=300
book,bulk,0.3595137074374562,0.29721594124925993,0.24065018909552607,0.15454161008089884
book,loudness,-0.07847209617137399,-0.14974370855682637,-0.13840407680507358,-0.1586908126790305
bulk,loudness,0.0751430448955039,-0.06120509291750903,-0.03350533358517508,-0.06309795404988373
intensity,book,0.12321283013787382,0.11243022248802141,0.07648664249399366,0.04450130844462285
intensity,bulk,0.2751239793398134,0.13514439962012859,0.06621897049304537,0.05265567672466871
intensity,loudness,0.5320105554383576,0.41868694726104355,0.3404365013138904,0.2686097950842789
volume,book,0.581013322927404,0.5764267886312483,0.5039959331996562,0.4164966651076173
volume,bulk,0.6519697094268699,0.5200588932578121,0.4604250523142284,0.38085756329695286
volume,intensity,0.44754128450626424,0.3468301445007969,0.2776752187630676,0.266245952308421
volume,loudness,0.21427291929374057,0.03961282582958544,0.08839255959762611,0.08893874854889587
